14:46:46:183,0
14:46:56:999,5.32
14:47:07:999,19.61
14:47:17:999,34.8
14:47:28:999,48.94
14:47:39:999,64.94
14:47:50:999,84.64
14:48:01:999,103.95
14:48:12:999,123.05
14:48:23:999,138.93
14:48:34:999,155.52
14:48:45:999,173.18
14:48:56:999,190.15
14:49:07:999,209.48
14:49:18:999,224.34
14:49:29:999,239.62
14:49:40:999,258.04
14:49:51:999,274.85
14:50:02:999,290.41
14:50:13:999,306.79
14:50:24:999,323.88
14:50:35:999,343.29
14:50:46:999,359.49
14:50:57:999,373.25
14:51:08:999,388.9
14:51:19:999,406.92
14:51:29:999,422.73
14:51:40:999,440.53
14:51:50:999,453.8
14:52:01:999,472.43
14:52:12:999,488.79
14:52:23:999,504.72
14:52:34:999,521.19
14:52:45:999,533.85
14:52:56:999,551.12
14:53:07:999,567.2
14:53:18:999,582.84
14:53:29:999,598.66
14:53:40:999,610.75
14:53:51:999,630.94
14:54:02:999,647.84
14:54:13:999,662.87
14:54:23:999,676.78
14:54:34:999,691.52
14:54:45:999,710.49
14:54:56:999,723.75
14:55:07:999,739.45
14:55:18:999,753.56
14:55:29:999,764.69
14:55:40:999,783.08
14:55:51:999,800.25
14:56:02:999,815.06
14:56:13:999,830.82
14:56:24:999,846.93
14:56:35:999,862.73
14:56:47:000,881.38
14:56:58:000,888.38
14:57:09:000,890.16
14:57:19:000,889.79
14:57:49:093,893.72
14:57:59:999,906.45
14:59:54:300,867.84
