15:41:04:846,-99,-8
15:41:05:198,-99,-7
15:41:05:546,-98,-4
15:41:05:898,-96,-4
15:41:06:246,-99,-7
15:41:06:598,-97,-7
15:41:06:958,null
15:41:07:298,-100,-8
15:41:07:647,null
15:41:07:995,null
15:41:08:347,-100,-8
15:41:08:711,null
15:41:09:047,null
15:41:09:399,-98,-5
15:41:09:747,null
15:41:10:111,null
15:41:10:448,-100,-11
15:41:10:812,null
15:41:11:148,-98,-8
15:41:11:500,-99,-5
15:41:11:848,null
15:41:12:200,-100,-5
15:41:12:552,-100,-4
15:41:12:900,null
15:41:13:252,-100,-5
15:41:13:602,null
15:41:13:950,-99,-3
15:41:14:302,-99,-6
15:41:14:662,null
15:41:15:002,-100,-9
15:41:15:354,-98,-5
15:41:15:702,-100,-8
15:41:16:054,-99,-7
15:41:16:402,-99,-8
15:41:16:754,null
15:41:17:114,null
15:41:17:463,null
15:41:17:815,null
15:41:18:151,null
15:41:18:516,null
15:41:18:866,null
15:41:19:214,null
15:41:19:566,null
15:41:19:902,-101,-10
15:41:20:267,null
15:41:20:614,null
15:41:20:966,null
15:41:21:306,-100,-5
15:41:21:666,null
15:41:22:018,null
15:41:22:354,null
15:41:22:718,null
15:41:23:066,null
15:41:23:406,-99,-8
15:41:23:758,-99,-7
15:41:24:118,null
15:41:24:458,null
15:41:24:806,-97,-5
15:41:25:158,-98,-3
15:41:25:510,-100,-8
15:41:25:870,null
15:41:26:210,-100,-5
15:41:26:558,null
15:41:26:910,-99,-7
15:41:27:258,-99,-7
15:41:27:611,-99,-6
15:41:27:959,-99,-8
15:41:28:307,-94,3
15:41:28:659,-96,1
15:41:29:008,-96,-1
15:41:29:360,-95,2
15:41:29:708,-98,-4
15:41:30:060,null
15:41:30:410,-97,0
15:41:30:762,-97,-4
15:41:31:110,-95,2
15:41:31:462,-98,-2
15:41:31:810,-98,-1
15:41:32:162,-98,-2
15:41:32:510,-98,-6
15:41:32:862,-98,-9
15:41:33:222,null
15:41:33:564,-99,-4
15:41:33:915,-97,-6
15:41:34:275,null
15:41:34:615,-99,-3
15:41:34:963,-100,-5
15:41:35:315,-98,-7
15:41:35:663,-98,-4
15:41:36:015,null
15:41:36:363,-100,-4
15:41:36:727,null
15:41:37:075,null
15:41:37:415,-99,-11
15:41:37:764,null
15:41:38:116,-99,-5
15:41:38:476,null
15:41:38:815,-99,-5
15:41:39:167,-98,-3
15:41:39:515,-98,-4
15:41:39:867,-98,-3
15:41:40:215,null
15:41:40:567,-100,-10
15:41:40:915,-99,-5
15:41:41:267,-99,-6
15:41:41:615,-99,-3
15:41:41:967,-96,-4
15:41:42:315,-99,-2
15:41:42:667,-96,-3
15:41:43:019,-97,-5
15:41:43:367,-97,-2
15:41:43:718,-97,-4
15:41:44:082,null
15:41:44:418,-97,-2
15:41:44:770,-98,-3
15:41:45:118,-98,-4
15:41:45:470,null
15:41:45:818,null
15:41:46:170,-99,-6
15:41:46:522,-100,-7
15:41:46:870,-99,-5
15:41:47:219,-99,-6
15:41:47:572,-99,-6
15:41:47:920,-100,-12
15:41:48:272,-100,-7
15:41:48:622,-99,-8
