15:18:37:347,0.68,-58,10
15:18:37:696,1.36,-51,8
15:18:38:048,2.04,-57,10
15:18:38:397,2.72,-62,8
15:18:38:744,3.4,-60,9
15:18:39:096,4.09,-63,9
15:18:39:448,4.77,-58,10
15:18:40:148,6.14,-64,8
15:18:40:498,6.82,-65,8
15:18:40:846,7.5,-53,8
15:18:41:197,8.18,-51,8
15:18:41:549,8.87,-51,9
15:18:41:897,9.55,-52,11
15:18:42:249,10.24,-56,11
15:18:42:601,10.92,-50,10
15:18:42:949,11.6,-59,11
15:18:43:298,12.28,-60,6
15:18:43:649,12.97,-52,9
15:18:44:001,13.65,-59,8
15:18:44:349,14.33,-50,8
15:18:44:701,15.02,-56,10
15:18:45:049,15.7,-61,9
15:18:45:401,16.38,-65,9
15:18:45:749,17.06,-52,11
15:18:46:101,17.75,-53,8
15:18:46:449,18.43,-47,8
15:18:46:801,19.11,-65,8
15:18:47:149,19.79,-52,9
15:18:47:502,20.48,-52,9
15:18:47:850,21.16,-61,9
15:18:48:203,21.24,-55,10
15:18:48:553,20.87,-59,11
15:18:48:902,20.51,-59,8
15:18:49:254,20.14,-66,8
15:18:49:602,19.78,-61,8
15:18:49:954,19.41,-59,10
15:18:50:303,19.04,-66,11
15:18:50:651,18.68,-70,9
15:18:51:003,18.31,-63,11
15:18:51:355,17.94,-62,8
15:18:51:703,17.58,-60,11
15:18:52:055,17.21,-59,8
15:18:52:403,16.85,-56,11
15:18:52:755,16.48,-56,8
15:18:53:105,16.11,-60,8
15:18:53:453,15.75,-63,11
15:18:53:804,15.38,-64,8
15:18:54:156,15.01,-70,9
15:18:54:504,14.65,-64,8
15:18:54:856,14.28,-62,10
15:18:55:208,13.91,-65,8
15:18:55:556,13.55,-64,9
15:18:55:908,13.18,-60,10
15:18:56:256,12.82,-61,6
15:18:56:608,12.45,-65,9
15:18:56:956,12.09,-71,10
15:18:57:308,11.72,-75,9
15:18:57:657,11.35,-78,9
15:18:58:009,10.99,-74,9
15:18:58:358,10.62,-78,8
15:18:58:709,10.25,-78,9
15:18:59:058,10.04,-69,11
15:18:59:758,11.14,-86,7
15:19:00:110,11.69,-76,10
15:19:00:460,12.24,-77,1
15:19:00:808,12.79,-71,8
15:19:01:160,13.34,-71,9
15:19:01:512,13.89,-76,9
15:19:01:860,14.44,-76,10
15:19:02:212,14.99,-80,8
15:19:02:560,15.54,-76,5
15:19:02:912,16.09,-82,8
15:19:03:261,16.64,-70,8
15:19:03:612,17.19,-70,10
15:19:03:960,17.74,-67,10
15:19:04:312,18.29,-66,11
15:19:04:664,18.84,-65,8
