14:46:48:847,-34,8
14:46:49:190,-35,8
14:46:49:550,-38,9
14:46:49:893,-34,8
14:46:50:237,-34,8
14:46:50:597,-35,9
14:46:50:940,-36,10
14:46:51:300,-50,11
14:46:51:643,-59,8
14:46:51:987,-56,11
14:46:52:346,-53,8
14:46:52:690,-54,8
14:46:53:050,-55,9
14:46:53:393,-58,11
14:46:53:753,-66,10
14:46:54:096,-57,10
14:46:54:440,-57,9
14:46:54:800,-63,9
14:46:55:143,-67,9
14:46:55:503,-67,10
14:46:55:846,-63,10
14:46:56:190,-58,11
14:46:56:549,-62,8
14:46:56:893,-64,8
14:46:57:253,-63,9
14:46:57:596,-66,9
14:46:57:956,-61,9
14:46:58:294,-58,9
14:46:58:653,-57,8
14:46:58:997,-54,9
14:46:59:356,-63,8
14:46:59:700,-65,10
14:47:00:044,-69,9
14:47:00:403,-74,9
14:47:00:747,-72,9
14:47:01:106,-67,10
14:47:01:450,-74,8
14:47:01:794,-75,8
14:47:02:153,-77,9
14:47:02:497,-79,9
14:47:02:856,-79,8
14:47:03:200,-87,6
14:47:03:559,-75,9
14:47:03:903,-74,10
14:47:04:247,-73,10
14:47:04:606,-68,9
14:47:05:309,-85,7
14:47:05:653,-72,10
14:47:05:997,-77,9
14:47:06:356,-76,10
14:47:06:706,-70,8
14:47:07:049,-77,10
14:47:07:409,-74,10
14:47:07:753,-67,10
14:47:08:096,-71,9
14:47:08:456,-79,10
14:47:08:799,-76,10
14:47:09:148,-67,8
14:47:09:508,-79,9
14:47:09:851,-69,10
14:47:10:211,-72,9
14:47:10:555,-73,11
14:47:10:898,-76,8
14:47:11:258,-68,10
14:47:11:601,-73,11
14:47:11:961,-71,9
14:47:12:304,-65,9
14:47:12:664,-67,11
14:47:13:008,-66,9
14:47:13:351,-68,9
14:47:13:711,-66,11
14:47:14:054,-69,9
14:47:14:414,-69,9
14:47:14:757,-65,8
14:47:15:101,-67,10
14:47:15:461,-64,9
14:47:15:804,-70,11
14:47:16:164,-85,8
14:47:16:507,-75,10
14:47:16:851,-86,8
14:47:17:211,-72,9
14:47:17:554,-75,11
14:47:17:914,-78,10
14:47:18:257,-81,8
14:47:18:617,-76,11
14:47:18:960,-81,10
14:47:19:304,-83,9
14:47:19:664,-92,4
14:47:20:017,-85,7
14:47:20:353,-80,9
