13:04:14:195,-42,8
13:04:14:543,-43,11
13:04:14:895,-43,11
13:04:15:247,-43,11
13:04:15:596,-42,8
13:04:15:944,-44,8
13:04:16:296,-46,8
13:04:16:644,-56,9
13:04:16:996,-64,9
13:04:17:348,-62,8
13:04:17:698,-62,10
13:04:18:046,-58,11
13:04:18:396,-60,10
13:04:18:748,-60,9
13:04:19:096,-56,11
13:04:19:448,-60,10
13:04:19:796,-65,10
13:04:20:147,-62,10
13:04:20:499,-68,8
13:04:20:847,-65,10
13:04:21:199,-59,8
13:04:21:547,-62,10
13:04:21:899,-65,9
13:04:22:247,-67,11
13:04:22:601,-68,9
13:04:22:949,-63,9
13:04:23:301,-64,10
13:04:23:648,-61,9
13:04:24:000,-65,8
13:04:24:348,-76,9
13:04:24:700,-67,8
13:04:25:048,-83,8
13:04:25:401,-71,9
13:04:25:749,-76,9
13:04:26:101,-70,10
13:04:26:453,-68,8
13:04:26:801,-77,9
13:04:27:152,-66,9
13:04:27:500,-73,9
13:04:27:852,-69,10
13:04:28:204,-74,9
13:04:28:554,-81,7
13:04:28:895,-72,10
13:04:29:254,-72,8
13:04:29:604,-76,8
13:04:29:952,-71,8
13:04:30:304,-77,10
13:04:30:653,-74,8
13:04:31:005,-75,8
13:04:31:353,-83,7
13:04:31:705,-84,8
13:04:32:052,-76,10
13:04:32:402,-88,6
13:04:32:747,-84,7
13:04:33:106,null
13:04:33:455,-77,9
13:04:33:803,-83,6
13:04:34:156,-78,10
13:04:34:508,-85,7
13:04:34:856,-81,6
13:04:35:206,-86,7
13:04:35:544,-87,6
13:04:35:919,null
13:04:36:247,-81,9
13:04:36:608,-77,9
13:04:36:956,-86,8
13:04:37:308,-75,10
13:04:37:656,-79,8
13:04:38:008,-84,8
13:04:38:357,-82,7
13:04:38:709,-81,8
13:04:39:057,-79,10
13:04:39:409,-79,9
13:04:39:757,-79,9
13:04:40:109,-88,7
13:04:40:459,-78,8
13:04:40:811,-84,7
13:04:41:159,-81,8
13:04:41:510,-80,8
13:04:41:858,-79,8
13:04:42:210,-87,7
13:04:42:558,-88,4
13:04:42:910,-88,4
13:04:43:262,-79,10
13:04:43:610,-85,7
13:04:43:962,-86,7
13:04:44:323,null
13:04:44:659,-89,6
13:04:45:011,-86,7
13:04:45:363,-80,8
13:04:45:711,-76,8
13:04:46:063,-72,8
13:04:46:411,-70,11
13:04:46:763,-72,10
13:04:47:111,-80,9
13:04:47:461,-88,6
13:04:47:813,-91,2
13:04:48:165,-80,8
13:04:48:512,-83,8
13:04:48:864,-79,8
13:04:49:212,-89,3
13:04:49:564,-89,6
13:04:49:916,-93,3
13:04:50:264,-84,8
13:04:50:616,-86,7
13:04:50:964,-85,6
13:04:51:316,-86,7
13:04:51:664,-85,7
13:04:52:015,-90,4
13:04:52:367,-85,8
13:04:52:715,null
13:04:53:067,-87,8
13:04:53:415,-95,0
13:04:53:767,-82,8
13:04:54:115,-81,10
13:04:54:468,-91,4
13:04:54:816,-87,7
13:04:55:168,-93,2
13:04:55:516,null
13:04:55:868,null
13:04:56:228,null
13:04:56:568,null
13:04:56:920,-90,5
13:04:57:261,-89,5
13:04:57:618,-90,5
13:04:57:970,-90,4
13:04:58:317,-90,3
13:04:58:669,-91,3
13:04:59:021,-93,0
13:04:59:381,null
13:04:59:721,-88,6
13:05:00:069,-90,5
13:05:00:434,null
13:05:00:772,-92,4
13:05:01:120,-93,1
13:05:01:472,-92,1
13:05:01:819,-85,7
13:05:02:171,-91,5
13:05:02:531,null
13:05:02:871,-94,0
13:05:03:223,-87,7
13:05:03:585,null
13:05:03:934,null
13:05:04:274,-95,-6
13:05:04:622,-91,4
13:05:04:974,-95,0
13:05:05:323,-89,3
13:05:05:675,-91,4
13:05:06:023,-91,5
13:05:06:375,null
13:05:06:723,-92,3
13:05:07:074,-90,4
13:05:07:434,null
13:05:07:774,-93,3
13:05:08:126,-90,5
13:05:08:476,-87,8
13:05:08:824,-92,3
13:05:09:176,-93,3
13:05:09:524,-94,1
13:05:09:888,null
13:05:10:224,-93,2
13:05:10:576,-89,6
13:05:10:940,null
13:05:11:276,-95,0
13:05:11:626,-92,4
13:05:11:977,-96,0
13:05:12:325,-98,-2
13:05:12:677,-93,2
13:05:13:029,-89,5
13:05:13:378,-90,5
13:05:13:726,-91,4
13:05:14:078,-96,-1
13:05:14:427,-99,-7
13:05:14:791,null
13:05:15:127,-92,5
13:05:15:479,-94,0
13:05:15:827,-97,-1
13:05:16:178,-91,4
13:05:16:530,-92,4
13:05:16:878,-94,3
13:05:17:230,-92,1
13:05:17:578,-96,-1
13:05:17:930,-93,2
13:05:18:291,null
13:05:18:630,-92,3
13:05:18:992,null
13:05:19:329,-97,-3
13:05:19:693,null
13:05:20:029,-92,3
13:05:20:381,-92,4
13:05:20:729,-94,3
13:05:21:081,null
13:05:21:443,null
13:05:21:795,null
13:05:22:131,-93,2
13:05:22:483,-94,0
13:05:22:831,-95,-1
13:05:23:183,-92,2
13:05:23:535,-91,3
13:05:23:883,-95,0
13:05:24:234,-95,0
13:05:24:584,-93,2
13:05:24:946,null
13:05:25:282,-95,0
13:05:25:634,-94,3
13:05:25:986,null
13:05:26:334,-92,2
13:05:26:686,-99,-7
13:05:27:034,null
13:05:27:383,-93,3
13:05:27:736,-95,-1
13:05:28:088,-93,3
13:05:28:448,null
13:05:28:784,-95,-2
13:05:29:136,null
13:05:29:484,-96,0
13:05:29:836,-97,-7
13:05:30:188,-96,-1
13:05:30:550,null
13:05:30:886,null
13:05:31:238,null
13:05:31:589,-96,-3
13:05:31:937,-93,1
13:05:32:289,-96,-4
13:05:32:637,-97,-2
13:05:33:001,null
13:05:33:339,-94,0
13:05:33:691,-98,-3
13:05:34:039,-94,1
13:05:34:391,-96,-2
13:05:34:738,-97,-4
13:05:35:090,-95,0
13:05:35:450,null
13:05:35:802,null
13:05:36:138,-94,-2
13:05:36:491,-96,0
13:05:36:839,-94,0
13:05:37:192,-91,5
13:05:37:539,-100,-12
13:05:37:891,-93,1
13:05:38:251,null
13:05:38:591,-93,2
13:05:38:943,-92,4
13:05:39:305,null
13:05:39:641,-94,2
13:05:39:992,-96,0
13:05:40:356,null
13:05:40:704,null
13:05:41:044,-96,0
13:05:41:392,-97,-5
13:05:41:756,null
13:05:42:096,-96,1
13:05:42:444,-98,-6
13:05:42:796,-95,0
13:05:43:144,null
13:05:43:505,null
13:05:43:857,null
13:05:44:196,-96,-2
13:05:44:557,null
13:05:44:905,null
13:05:45:245,-97,-3
13:05:45:609,null
13:05:45:945,-94,3
13:05:46:294,-92,4
13:05:46:646,-96,0
13:05:46:994,-92,2
13:05:47:346,-97,-2
13:05:47:698,null
13:05:48:058,null
13:05:48:410,null
13:05:48:758,null
13:05:49:110,null
13:05:49:459,null
13:05:49:811,null
13:05:50:147,-97,-7
13:05:50:498,-98,-7
13:05:50:850,-97,-3
13:05:51:210,null
13:05:51:562,null
13:05:51:910,null
13:05:52:249,-98,-10
13:05:52:599,-98,-3
13:05:52:951,-99,-12
13:05:53:300,-98,-6
13:05:53:652,-98,-7
13:05:54:012,null
13:05:54:352,-97,-9
13:05:54:711,null
13:05:55:063,null
13:05:55:411,null
13:05:55:763,null
13:05:56:103,-96,-1
13:05:56:464,null
13:05:56:812,null
13:05:57:153,-97,-6
13:05:57:514,null
13:05:57:854,-97,-6
13:05:58:214,null
13:05:58:564,null
13:05:58:916,null
13:05:59:268,null
13:05:59:604,-98,-11
13:05:59:967,null
13:06:00:303,null
13:06:00:667,null
13:06:01:003,-97,-1
13:06:01:353,null
13:06:01:705,-99,-4
13:06:02:069,null
13:06:02:405,-96,-2
13:06:02:768,null
13:06:03:104,-97,0
13:06:03:456,-96,-4
13:06:03:808,-96,-4
13:06:04:168,null
13:06:04:507,null
13:06:04:855,-96,-6
13:06:05:207,-97,-2
13:06:05:571,null
13:06:05:907,null
13:06:06:257,-98,-8
13:06:06:621,null
13:06:06:969,null
13:06:07:307,null
13:06:07:659,-99,-10
13:06:08:010,-98,-4
13:06:08:370,null
13:06:08:722,null
13:06:09:072,null
13:06:09:407,-96,-3
13:06:09:771,null
13:06:10:111,-96,-7
13:06:10:471,null
13:06:10:811,null
13:06:11:159,-97,-9
13:06:11:523,null
13:06:11:873,null
13:06:12:211,null
13:06:12:571,null
13:06:12:911,null
13:06:13:262,-99,-13
13:06:13:622,null
13:06:13:962,-99,-8
13:06:14:322,null
13:06:14:674,null
13:06:15:026,null
13:06:15:374,null
13:06:15:726,null
13:06:16:074,null
13:06:16:411,null
13:06:16:770,null
13:06:17:114,-99,-8
13:06:17:475,null
13:06:17:814,-97,-6
13:06:18:174,null
13:06:18:526,null
13:06:18:878,null
13:06:19:214,-98,-8
13:06:19:577,null
13:06:19:925,null
13:06:20:265,-99,-6
13:06:20:629,null
13:06:20:977,null
13:06:21:314,-97,-10
13:06:21:678,null
13:06:22:018,-98,-11
13:06:22:380,null
13:06:22:727,null
13:06:23:079,null
13:06:23:429,null
13:06:23:780,null
13:06:24:130,null
13:06:24:467,-98,-11
13:06:24:831,null
13:06:25:167,-96,-13
13:06:25:532,null
13:06:25:880,null
13:06:26:232,null
13:06:26:580,null
13:06:26:931,null
13:06:27:279,null
13:06:27:631,null
13:06:27:971,-98,-7
13:06:28:333,null
13:06:28:681,null
13:06:29:033,null
13:06:29:380,null
13:06:29:720,-98,-9
13:06:30:072,null
13:06:30:422,-97,-11
13:06:30:783,null
13:06:31:135,null
13:06:31:483,null
13:06:31:823,-98,-12
13:06:32:171,-98,-6
13:06:32:521,-97,-10
13:06:32:885,null
13:06:33:236,null
13:06:33:584,null
13:06:33:936,null
13:06:34:284,null
13:06:34:636,null
13:06:34:984,null
13:06:35:333,null
13:06:35:687,null
13:06:36:035,null
13:06:36:387,null
13:06:36:723,-98,-13
13:06:37:087,null
13:06:37:436,null
13:06:37:788,null
13:06:38:137,null
13:06:38:487,null
13:06:38:835,null
13:06:39:188,null
13:06:39:527,null
13:06:39:886,null
13:06:40:230,null
13:06:40:587,null
13:06:40:939,null
13:06:41:290,null
13:06:41:639,null
13:06:41:979,null
13:06:42:339,null
13:06:42:679,null
13:06:43:028,-97,-12
13:06:43:388,null
13:06:43:740,null
13:06:44:088,null
13:06:44:442,null
13:06:44:790,null
13:06:45:142,null
13:06:45:478,-98,-8
13:06:45:830,null
13:06:46:194,null
13:06:46:530,null
13:06:46:894,null
13:06:47:242,null
13:06:47:592,null
13:06:47:930,-97,-14
13:06:48:293,null
13:06:48:641,null
13:06:48:993,null
13:06:49:341,null
13:06:49:694,null
13:06:50:043,null
13:06:50:395,null
13:06:50:743,null
13:06:51:095,null
13:06:51:444,null
13:06:51:796,null
13:06:52:132,null
13:06:52:496,null
13:06:52:844,null
13:06:53:184,null
13:06:53:548,null
13:06:53:895,null
13:06:54:247,null
13:06:54:597,null
13:06:54:945,null
13:06:55:297,null
13:06:55:646,null
13:06:55:998,null
13:06:56:346,null
13:06:56:699,null
13:06:57:047,null
13:06:57:399,null
13:06:57:747,null
13:06:58:098,null
13:06:58:436,null
13:06:58:787,-97,-7
13:06:59:135,-97,-9
13:06:59:499,null
13:06:59:847,null
13:07:00:199,null
13:07:00:550,null
13:07:00:900,null
13:07:01:250,null
13:07:01:587,-98,-8
13:07:01:951,null
13:07:02:299,null
13:07:02:651,null
13:07:02:999,null
13:07:03:339,-99,-15
13:07:03:691,-99,-13
13:07:04:051,null
13:07:04:400,null
13:07:04:752,null
13:07:05:102,null
13:07:05:454,null
13:07:05:802,null
13:07:06:154,null
13:07:06:503,null
13:07:06:852,null
13:07:07:204,null
13:07:07:556,null
13:07:07:904,null
13:07:08:256,null
13:07:08:603,null
13:07:08:955,null
13:07:09:303,null
13:07:09:655,null
13:07:10:004,null
13:07:10:344,-99,-6
13:07:10:708,null
13:07:11:055,null
13:07:11:406,null
13:07:11:757,null
13:07:12:105,null
13:07:12:457,null
13:07:12:807,null
13:07:13:145,-96,-13
13:07:13:505,null
13:07:13:857,null
13:07:14:209,null
13:07:14:558,null
13:07:14:908,null
13:07:15:256,null
13:07:15:608,null
13:07:15:959,null
13:07:16:311,null
13:07:16:659,null
13:07:17:011,null
13:07:17:360,null
13:07:17:710,null
13:07:18:060,null
13:07:18:410,null
13:07:18:758,null
13:07:19:110,null
13:07:19:462,null
13:07:19:797,-98,-13
13:07:20:149,-99,-13
13:07:20:499,null
13:07:20:863,null
13:07:21:211,null
13:07:21:562,null
13:07:21:912,null
13:07:22:250,null
13:07:22:602,-98,-10
13:07:22:962,null
13:07:23:301,-96,-5
13:07:23:651,-96,-3
13:07:24:011,null
13:07:24:364,null
13:07:24:700,-95,-7
13:07:25:052,-96,-5
13:07:25:404,-96,-3
13:07:25:764,null
13:07:26:103,-98,-7
13:07:26:465,null
13:07:26:801,-98,-10
13:07:27:165,null
13:07:27:513,null
13:07:27:866,null
13:07:28:216,null
13:07:28:564,null
13:07:28:916,null
13:07:29:264,null
13:07:29:617,null
13:07:29:967,null
13:07:30:315,null
13:07:30:667,null
13:07:31:003,-93,-2
13:07:31:355,-93,0
13:07:31:719,null
13:07:32:055,-96,-5
13:07:32:404,null
13:07:32:756,-97,-4
13:07:33:120,null
13:07:33:468,null
13:07:33:820,null
13:07:34:156,-94,-8
13:07:34:508,-93,-5
13:07:34:856,-93,1
13:07:35:208,-96,-7
13:07:35:556,-95,-2
13:07:35:920,null
13:07:36:256,-94,-2
13:07:36:620,null
13:07:36:972,null
13:07:37:320,null
13:07:37:660,null
13:07:38:008,-95,-4
13:07:38:372,null
13:07:38:710,-91,1
13:07:39:072,null
13:07:39:409,-89,-15
13:07:39:761,-97,-4
13:07:40:109,-96,-3
13:07:40:461,-95,-3
13:07:40:809,null
13:07:41:161,-96,-7
13:07:41:509,-96,-12
13:07:41:873,null
13:07:42:225,null
13:07:42:574,null
13:07:42:910,-95,-4
13:07:43:262,-97,-5
13:07:43:626,null
13:07:43:974,null
13:07:44:326,null
13:07:44:675,null
13:07:45:025,null
13:07:45:376,null
13:07:45:724,null
13:07:46:076,null
13:07:46:419,null
13:07:46:778,null
13:07:47:122,null
13:07:47:476,null
13:07:47:828,null
13:07:48:176,null
13:07:48:527,null
13:07:48:870,null
13:07:49:214,null
13:07:49:579,null
13:07:49:927,null
13:07:50:276,null
13:07:50:628,null
13:07:50:976,null
13:07:51:325,null
13:07:51:668,null
13:07:52:028,null
13:07:52:380,null
13:07:52:728,null
13:07:53:080,null
13:07:53:428,null
13:07:53:779,null
13:07:54:132,null
13:07:54:481,null
13:07:54:826,null
13:07:55:170,null
13:07:55:533,null
13:07:55:881,null
13:07:56:231,null
13:07:56:581,null
13:07:56:933,null
13:07:57:283,null
13:07:57:631,null
13:07:57:983,null
13:07:58:332,null
13:07:58:680,null
13:07:59:032,null
13:07:59:382,null
13:07:59:733,null
13:08:00:083,null
13:08:00:435,null
13:08:00:783,null
13:08:01:135,null
13:08:01:480,null
13:08:01:824,null
13:08:02:183,null
13:08:02:535,null
13:08:02:887,null
13:08:03:235,null
13:08:03:587,null
13:08:03:935,null
13:08:04:278,null
13:08:04:637,null
13:08:04:981,null
13:08:05:336,null
13:08:05:686,null
13:08:06:038,null
13:08:06:388,null
13:08:06:738,null
13:08:07:086,null
13:08:07:437,null
13:08:07:788,null
13:08:08:138,null
13:08:08:488,null
13:08:08:840,null
13:08:09:188,null
