time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-06-14T14:22:47.000Z,52.07440593,5.18100635,41.0,11.792,,0.0,0,gps,0.8,0.7,1.1,47.0,,,,58,
2019-06-14T14:22:57.000Z,52.07441663,5.1810211,42.0,7.504,,0.0,12,gps,1.0,0.9,1.3,47.0,,,,58,
2019-06-14T14:23:07.000Z,52.07448749,5.18118567,51.0,9.648001,55.6,3.21,14,gps,0.8,0.8,1.2,47.0,,,,58,
2019-06-14T14:23:18.000Z,52.07477295,5.18146474,46.0,9.648001,22.9,1.47,16,gps,0.9,0.8,1.2,47.0,,,,58,
2019-06-14T14:23:29.000Z,52.07572584,5.18132328,64.0,7.504,325.4,5.26,11,gps,1.1,0.8,1.3,47.0,,,,58,
2019-06-14T14:23:40.000Z,52.0761545,5.18145799,60.0,7.504,36.3,4.07,18,gps,0.7,0.8,1.0,47.0,,,,58,
2019-06-14T14:23:51.000Z,52.07635662,5.18193586,58.0,10.72,63.3,4.09,19,gps,0.6,0.8,1.0,47.0,,,,58,
2019-06-14T14:24:02.000Z,52.07648539,5.1825121,53.0,9.648001,83.4,3.85,20,gps,0.6,0.7,1.0,47.0,,,,58,
2019-06-14T14:24:13.000Z,52.07661244,5.18300361,52.0,9.648001,62.9,2.48,22,gps,0.6,0.7,0.9,47.0,,,,58,
