13:30:17:083,-42,8
13:30:17:431,-52,11
13:30:17:781,-51,8
13:30:18:129,-46,10
13:30:18:481,-44,8
13:30:18:824,-45,8
13:30:19:184,-38,11
13:30:19:531,-45,8
13:30:19:883,-46,11
13:30:20:233,-48,9
13:30:20:583,-59,10
13:30:20:935,-58,10
13:30:21:283,-72,8
13:30:21:631,-66,9
13:30:21:983,-69,9
13:30:22:335,-68,9
13:30:22:683,-62,10
13:30:23:035,-72,8
13:30:23:384,-70,9
13:30:24:436,-69,10
13:30:24:784,-72,9
13:30:25:136,-75,9
13:30:25:488,-73,9
13:30:25:836,-71,9
13:30:26:537,-81,7
13:30:26:886,-77,7
13:30:27:238,-76,8
13:30:27:586,-73,8
13:30:27:938,-72,8
13:30:28:286,-78,7
13:30:28:989,-77,8
13:30:29:340,-81,5
13:30:30:040,-75,8
13:30:30:388,-72,9
13:30:31:088,-81,8
13:30:31:440,-75,7
13:30:31:788,-80,7
13:30:32:140,-79,7
13:30:33:189,-79,6
13:30:34:241,-79,7
13:30:34:593,-82,4
13:30:34:941,-80,9
13:30:35:290,-81,9
13:30:36:342,-75,8
13:30:36:690,-80,7
13:30:37:042,-80,5
13:30:37:394,-76,10
13:30:37:742,-81,7
13:30:38:094,-79,7
13:30:38:791,-91,4
13:30:39:143,-84,5
13:30:39:495,-82,9
13:30:39:843,-88,4
13:30:40:195,-84,7
13:30:40:542,-83,6
13:30:40:894,-82,8
13:30:41:246,-85,6
13:30:41:595,-83,6
13:30:42:295,-90,3
13:30:42:647,-85,8
13:30:42:995,-85,5
13:30:43:347,-81,9
13:30:43:695,-83,5
13:30:44:047,-87,8
13:30:44:747,-84,6
13:30:45:095,-90,3
13:30:45:447,-91,4
13:30:45:799,-81,7
13:30:46:147,-90,4
13:30:46:499,-90,5
13:30:46:846,-94,-2
13:30:47:198,-87,7
13:30:47:547,-85,7
13:30:47:899,-89,0
13:30:48:251,-86,7
13:30:48:951,-89,3
13:30:49:299,-95,-1
13:30:49:651,-85,6
13:30:49:999,-85,5
13:30:50:348,-89,1
13:30:50:700,-88,4
13:30:51:050,-88,6
13:30:51:402,-85,6
13:30:51:750,-88,3
13:30:52:102,-81,10
13:30:52:451,-94,1
13:30:52:803,-82,7
13:30:53:500,-87,5
13:30:54:200,-89,3
13:30:54:552,-93,-1
13:30:54:904,-92,1
13:30:55:252,-90,4
13:30:55:604,-86,1
13:30:55:953,-88,3
13:30:56:293,-86,6
13:30:56:652,-93,2
13:30:56:996,-83,6
13:30:57:355,-91,1
13:30:57:703,-84,5
13:30:58:055,-88,5
13:30:58:403,-93,2
13:30:58:755,-89,5
13:30:59:103,-88,6
13:30:59:456,-87,5
13:31:00:156,-92,-2
13:31:00:854,-88,6
13:31:01:558,-90,3
13:31:01:906,-87,5
13:31:02:258,-91,4
13:31:02:607,-90,5
13:31:02:957,-92,-1
13:31:03:309,-90,5
13:31:03:657,-92,-1
13:31:04:009,-90,5
13:31:04:358,-93,1
13:31:04:710,-87,4
13:31:05:759,-94,0
13:31:06:107,-93,-1
13:31:07:159,-94,0
13:31:07:511,-89,3
13:31:07:860,-94,0
13:31:08:212,-94,-1
13:31:08:909,-92,0
13:31:09:262,-90,0
13:31:09:606,-92,1
13:31:09:949,-96,-3
13:31:10:312,-91,0
13:31:11:010,-95,-2
13:31:11:363,-93,-2
13:31:12:763,-93,4
13:31:13:111,-90,2
13:31:13:815,-95,-3
13:31:15:212,-94,-2
