13:04:14:543,-43,11
13:04:14:895,-43,11
13:04:15:247,-43,11
13:04:15:596,-42,8
13:04:15:944,-44,8
13:04:16:296,-46,8
13:04:16:644,-56,9
13:04:16:996,-64,9
13:04:17:348,-62,8
13:04:17:698,-62,10
13:04:18:046,-58,11
13:04:18:396,-60,10
13:04:18:748,-60,9
13:04:19:096,-56,11
13:04:19:448,-60,10
13:04:19:796,-65,10
13:04:20:147,-62,10
13:04:20:499,-68,8
13:04:20:847,-65,10
13:04:21:199,-59,8
13:04:21:547,-62,10
13:04:21:899,-65,9
13:04:22:247,-67,11
13:04:22:601,-68,9
13:04:22:949,-63,9
13:04:23:301,-64,10
13:04:23:648,-61,9
13:04:24:000,-65,8
13:04:24:348,-76,9
13:04:24:700,-67,8
13:04:25:048,-83,8
13:04:25:401,-71,9
13:04:25:749,-76,9
13:04:26:101,-70,10
13:04:26:453,-68,8
13:04:26:801,-77,9
13:04:27:152,-66,9
13:04:27:500,-73,9
13:04:27:852,-69,10
13:04:28:204,-74,9
13:04:28:554,-81,7
13:04:28:895,-72,10
13:04:29:254,-72,8
13:04:29:604,-76,8
13:04:29:952,-71,8
13:04:30:304,-77,10
13:04:30:653,-74,8
13:04:31:005,-75,8
13:04:31:353,-83,7
13:04:31:705,-84,8
13:04:32:052,-76,10
13:04:32:402,-88,6
13:04:32:747,-84,7
13:04:33:455,-77,9
13:04:33:803,-83,6
13:04:34:156,-78,10
13:04:34:508,-85,7
13:04:34:856,-81,6
13:04:35:206,-86,7
13:04:35:544,-87,6
13:04:36:247,-81,9
13:04:36:608,-77,9
13:04:36:956,-86,8
13:04:37:308,-75,10
13:04:37:656,-79,8
13:04:38:008,-84,8
13:04:38:357,-82,7
13:04:38:709,-81,8
13:04:39:057,-79,10
13:04:39:409,-79,9
13:04:39:757,-79,9
13:04:40:109,-88,7
13:04:40:459,-78,8
13:04:40:811,-84,7
13:04:41:159,-81,8
13:04:41:510,-80,8
13:04:41:858,-79,8
13:04:42:210,-87,7
13:04:42:558,-88,4
13:04:42:910,-88,4
13:04:43:262,-79,10
13:04:43:610,-85,7
13:04:43:962,-86,7
13:04:44:659,-89,6
13:04:45:011,-86,7
13:04:45:363,-80,8
13:04:45:711,-76,8
13:04:46:063,-72,8
13:04:46:411,-70,11
13:04:46:763,-72,10
13:04:47:111,-80,9
13:04:47:461,-88,6
13:04:47:813,-91,2
13:04:48:165,-80,8
13:04:48:512,-83,8
13:04:48:864,-79,8
13:04:49:212,-89,3
13:04:49:564,-89,6
13:04:49:916,-93,3
13:04:50:264,-84,8
13:04:50:616,-86,7
13:04:50:964,-85,6
13:04:51:316,-86,7
13:04:51:664,-85,7
13:04:52:015,-90,4
13:04:52:367,-85,8
13:04:53:067,-87,8
13:04:53:415,-95,0
13:04:53:767,-82,8
13:04:54:115,-81,10
13:04:54:468,-91,4
13:04:54:816,-87,7
13:04:55:168,-93,2
13:04:56:920,-90,5
13:04:57:261,-89,5
13:04:57:618,-90,5
13:04:57:970,-90,4
13:04:58:317,-90,3
13:04:58:669,-91,3
13:04:59:021,-93,0
13:04:59:721,-88,6
13:05:00:069,-90,5
13:05:00:772,-92,4
13:05:01:120,-93,1
13:05:01:472,-92,1
13:05:01:819,-85,7
13:05:02:171,-91,5
13:05:02:871,-94,0
13:05:03:223,-87,7
13:05:04:274,-95,-6
13:05:04:622,-91,4
13:05:04:974,-95,0
13:05:05:323,-89,3
13:05:05:675,-91,4
13:05:06:023,-91,5
13:05:06:723,-92,3
13:05:07:074,-90,4
13:05:07:774,-93,3
13:05:08:126,-90,5
13:05:08:476,-87,8
13:05:08:824,-92,3
13:05:09:176,-93,3
13:05:09:524,-94,1
13:05:10:224,-93,2
13:05:10:576,-89,6
13:05:11:276,-95,0
13:05:11:626,-92,4
13:05:11:977,-96,0
13:05:12:325,-98,-2
13:05:12:677,-93,2
13:05:13:029,-89,5
13:05:13:378,-90,5
13:05:13:726,-91,4
13:05:14:078,-96,-1
13:05:14:427,-99,-7
13:05:15:127,-92,5
13:05:15:479,-94,0
13:05:15:827,-97,-1
13:05:16:178,-91,4
13:05:16:530,-92,4
13:05:16:878,-94,3
13:05:17:230,-92,1
13:05:17:578,-96,-1
13:05:17:930,-93,2
13:05:18:630,-92,3
13:05:19:329,-97,-3
13:05:20:029,-92,3
13:05:20:381,-92,4
13:05:20:729,-94,3
13:05:22:131,-93,2
13:05:22:483,-94,0
13:05:22:831,-95,-1
13:05:23:183,-92,2
13:05:23:535,-91,3
13:05:23:883,-95,0
13:05:24:234,-95,0
13:05:24:584,-93,2
13:05:25:282,-95,0
13:05:25:634,-94,3
13:05:26:334,-92,2
13:05:26:686,-99,-7
13:05:27:383,-93,3
13:05:27:736,-95,-1
13:05:28:088,-93,3
13:05:28:784,-95,-2
13:05:29:484,-96,0
13:05:29:836,-97,-7
13:05:30:188,-96,-1
13:05:31:589,-96,-3
13:05:31:937,-93,1
13:05:32:289,-96,-4
13:05:32:637,-97,-2
13:05:33:339,-94,0
13:05:33:691,-98,-3
13:05:34:039,-94,1
13:05:34:391,-96,-2
13:05:34:738,-97,-4
13:05:35:090,-95,0
13:05:36:138,-94,-2
13:05:36:491,-96,0
13:05:36:839,-94,0
13:05:37:192,-91,5
13:05:37:539,-100,-12
13:05:37:891,-93,1
13:05:38:591,-93,2
13:05:38:943,-92,4
13:05:39:641,-94,2
13:05:39:992,-96,0
13:05:41:044,-96,0
13:05:41:392,-97,-5
13:05:42:096,-96,1
13:05:42:444,-98,-6
13:05:42:796,-95,0
13:05:44:196,-96,-2
13:05:45:245,-97,-3
13:05:45:945,-94,3
13:05:46:294,-92,4
13:05:46:646,-96,0
13:05:46:994,-92,2
13:05:47:346,-97,-2
13:05:50:147,-97,-7
13:05:50:498,-98,-7
13:05:50:850,-97,-3
13:05:52:249,-98,-10
13:05:52:599,-98,-3
13:05:52:951,-99,-12
13:05:53:300,-98,-6
13:05:53:652,-98,-7
13:05:54:352,-97,-9
13:05:56:103,-96,-1
13:05:57:153,-97,-6
13:05:57:854,-97,-6
13:05:59:604,-98,-11
13:06:01:003,-97,-1
13:06:01:705,-99,-4
13:06:02:405,-96,-2
13:06:03:104,-97,0
13:06:03:456,-96,-4
13:06:03:808,-96,-4
13:06:04:855,-96,-6
13:06:05:207,-97,-2
13:06:06:257,-98,-8
13:06:07:659,-99,-10
13:06:08:010,-98,-4
13:06:09:407,-96,-3
13:06:10:111,-96,-7
13:06:11:159,-97,-9
13:06:13:262,-99,-13
13:06:13:962,-99,-8
13:06:17:114,-99,-8
13:06:17:814,-97,-6
13:06:19:214,-98,-8
13:06:20:265,-99,-6
13:06:21:314,-97,-10
13:06:22:018,-98,-11
13:06:24:467,-98,-11
13:06:25:167,-96,-13
13:06:27:971,-98,-7
13:06:29:720,-98,-9
13:06:30:422,-97,-11
13:06:31:823,-98,-12
13:06:32:171,-98,-6
13:06:32:521,-97,-10
13:06:36:723,-98,-13
13:06:43:028,-97,-12
13:06:45:478,-98,-8
13:06:47:930,-97,-14
13:06:58:787,-97,-7
13:06:59:135,-97,-9
13:07:01:587,-98,-8
13:07:03:339,-99,-15
13:07:03:691,-99,-13
13:07:10:344,-99,-6
13:07:13:145,-96,-13
13:07:19:797,-98,-13
13:07:20:149,-99,-13
13:07:22:602,-98,-10
13:07:23:301,-96,-5
13:07:23:651,-96,-3
13:07:24:700,-95,-7
13:07:25:052,-96,-5
13:07:25:404,-96,-3
13:07:26:103,-98,-7
13:07:26:801,-98,-10
13:07:31:003,-93,-2
13:07:31:355,-93,0
13:07:32:055,-96,-5
13:07:32:756,-97,-4
13:07:34:156,-94,-8
13:07:34:508,-93,-5
13:07:34:856,-93,1
13:07:35:208,-96,-7
13:07:35:556,-95,-2
13:07:36:256,-94,-2
13:07:38:008,-95,-4
13:07:38:710,-91,1
13:07:39:409,-89,-15
13:07:39:761,-97,-4
13:07:40:109,-96,-3
13:07:40:461,-95,-3
13:07:41:161,-96,-7
13:07:41:509,-96,-12
13:07:42:910,-95,-4
13:07:43:262,-97,-5
