13:39:14:205,-49,9
13:39:14:553,-47,8
13:39:14:905,-50,9
13:39:15:253,-49,9
13:39:15:605,-47,9
13:39:15:953,-46,9
13:39:16:306,-50,8
13:39:16:655,-47,8
13:39:17:007,-48,10
13:39:17:355,-54,10
13:39:17:707,-52,10
13:39:18:055,-53,9
13:39:18:406,-62,10
13:39:18:758,-55,8
13:39:19:106,-56,11
13:39:19:455,-65,9
13:39:19:807,-64,9
13:39:20:155,-67,11
13:39:20:507,-64,10
13:39:20:859,-69,11
13:39:21:207,-67,8
13:39:21:559,-69,9
13:39:21:907,-64,9
13:39:22:259,-65,10
13:39:22:608,-65,10
13:39:22:960,-71,7
13:39:23:309,-76,7
13:39:23:661,-79,8
13:39:24:009,-70,11
13:39:24:361,-67,8
13:39:24:708,-87,3
13:39:25:060,-82,6
13:39:25:410,-74,9
13:39:25:761,-84,6
13:39:26:109,-72,9
13:39:26:461,-75,9
13:39:26:809,-76,8
13:39:27:161,-75,9
13:39:27:513,-70,6
13:39:27:861,-67,8
13:39:28:213,-69,8
13:39:28:562,-70,10
13:39:28:910,-76,6
13:39:29:262,-70,8
13:39:29:626,null
13:39:29:962,-73,8
13:39:30:314,-82,6
13:39:30:661,-75,11
13:39:31:013,-81,8
13:39:31:363,-78,7
13:39:31:715,-79,8
13:39:32:075,null
13:39:32:414,-78,9
13:39:32:766,-83,7
13:39:33:114,-89,4
13:39:33:466,-85,8
13:39:33:814,-78,8
13:39:34:166,-84,8
13:39:34:515,-81,9
13:39:34:867,null
13:39:35:215,-83,6
13:39:35:567,-84,4
13:39:35:915,-85,7
13:39:36:267,-84,6
13:39:36:615,-85,6
13:39:36:967,-90,-1
13:39:37:316,-87,6
13:39:37:668,null
13:39:38:018,-86,5
13:39:38:369,-82,9
13:39:38:718,-81,8
13:39:39:066,-80,9
13:39:39:419,-84,9
13:39:39:770,-80,7
13:39:40:118,-81,7
13:39:40:468,-82,7
13:39:40:820,null
13:39:41:171,-85,6
13:39:41:519,-89,2
13:39:41:871,-86,5
13:39:42:219,-85,5
13:39:42:571,-87,5
13:39:42:919,-86,7
13:39:43:264,-85,7
13:39:43:620,-94,0
13:39:43:972,-93,1
13:39:44:320,-89,6
13:39:44:672,-89,0
13:39:45:020,-90,3
13:39:45:372,-86,6
13:39:45:720,-88,5
13:39:46:072,-86,6
13:39:46:421,-86,3
13:39:46:773,-86,5
13:39:47:121,-86,6
13:39:47:473,-95,-2
13:39:47:821,-84,6
13:39:48:173,-85,3
13:39:48:525,-93,2
13:39:48:874,-91,0
13:39:49:222,-91,4
13:39:49:575,-88,4
13:39:49:923,-89,2
13:39:50:287,null
13:39:50:623,-90,0
13:39:50:975,null
13:39:51:323,-85,6
13:39:51:675,-93,-1
13:39:52:027,-86,2
13:39:52:388,null
13:39:52:725,null
13:39:53:073,-86,6
13:39:53:425,null
13:39:53:777,-88,7
13:39:54:125,-87,4
13:39:54:489,null
13:39:54:825,-92,4
13:39:55:189,null
13:39:55:526,-87,7
13:39:55:890,null
13:39:56:226,-88,8
13:39:56:578,-90,5
13:39:56:930,-83,6
13:39:57:278,-86,7
13:39:57:630,-90,5
13:39:57:977,-86,4
13:39:58:327,-88,6
13:39:58:679,-94,0
13:39:59:030,-92,3
13:39:59:378,-94,-1
13:39:59:742,null
13:40:00:078,-92,0
13:40:00:430,-89,1
13:40:00:782,-89,1
13:40:01:130,-92,2
13:40:01:479,-87,3
13:40:01:843,null
13:40:02:183,-87,6
13:40:02:531,-92,1
