time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-06-14T14:30:12.000Z,52.07477073,5.18140698,61.0,39.664,,0.0,10,gps,1.0,0.9,1.4,47.0,,,,57,
2019-06-14T14:30:23.000Z,52.07457034,5.18122827,48.0,9.648001,,0.0,10,gps,0.9,0.8,1.2,47.0,,,,57,
2019-06-14T14:30:34.000Z,52.07419577,5.18069617,33.0,8.576,224.8,3.88,11,gps,1.0,0.9,1.3,47.0,,,,57,
2019-06-14T14:30:45.000Z,52.07364157,5.18057234,42.0,7.504,170.9,5.19,15,gps,0.8,0.8,1.1,47.0,,,,57,
2019-06-14T14:30:56.000Z,52.07310774,5.18060485,44.0,6.432,178.3,4.13,16,gps,0.8,0.7,1.1,47.0,,,,57,
2019-06-14T14:31:07.000Z,52.07274199,5.18026553,47.0,10.72,228.2,4.5,16,gps,0.8,0.8,1.1,47.0,,,,57,
2019-06-14T14:31:18.000Z,52.07248118,5.17971056,45.0,13.936001,243.7,4.91,14,gps,0.9,0.8,1.2,47.0,,,,57,
