16:18:49:000,-36,8
16:18:49:150,-36,11
16:18:49:300,-39,8
16:18:49:450,-44,10
16:18:49:600,-42,8
16:18:49:750,-48,8
16:18:49:900,-40,9
16:18:50:050,-42,9
16:18:50:200,-46,11
16:18:50:350,-45,9
16:18:50:500,-40,11
16:18:50:650,-52,9
16:18:50:800,-46,8
16:18:50:950,-48,8
16:18:51:100,-48,8
16:18:51:250,-51,8
16:18:51:400,-46,8
16:18:51:550,-57,8
16:18:51:700,-46,11
16:18:51:850,-61,8
16:18:52:000,-62,10
16:18:52:150,-50,8
16:18:52:300,-61,11
16:18:52:450,-45,8
16:18:52:600,-55,9
16:18:52:750,-52,9
16:18:52:900,-53,10
16:18:53:050,-49,11
16:18:53:200,-47,8
16:18:53:350,-48,8
16:18:53:500,-49,11
16:18:53:650,-49,10
16:18:53:800,-46,8
16:18:53:950,-48,8
16:18:54:100,-49,11
16:18:54:250,-49,8
16:18:54:400,-49,10
16:18:54:550,-49,9
16:18:54:700,-45,8
16:18:54:850,-46,11
16:18:55:000,-48,8
16:18:55:150,-43,11
16:18:55:300,-53,11
16:18:55:450,-47,8
16:18:55:600,-48,8
16:18:55:750,-55,8
16:18:55:900,-50,9
16:18:56:050,-46,10
16:18:56:200,-58,10
16:18:56:350,-47,8
16:18:56:500,-48,8
16:18:56:650,-55,9
16:18:56:800,-60,8
16:18:56:950,-52,11
16:18:57:100,-46,10
16:18:57:250,-51,8
16:18:57:400,-55,11
16:18:57:550,-49,11
16:18:57:700,-57,10
16:18:57:850,-56,8
16:18:58:000,-65,11
16:18:58:150,-58,9
16:18:58:300,-58,9
16:18:58:450,-72,8
16:18:58:600,-53,8
16:18:58:750,-49,10
16:18:58:900,-59,9
16:18:59:050,-37,9
16:18:59:200,-45,10
16:18:59:350,-53,9
16:18:59:500,-59,8
16:18:59:650,-54,9
16:18:59:800,-63,8
16:18:59:950,-51,10
16:19:00:100,-58,11
16:19:00:250,-49,9
16:19:00:400,-56,9
16:19:00:550,-49,11
16:19:00:700,-51,9
16:19:00:850,-52,8
16:19:01:000,-48,9
16:19:01:150,-51,9
16:19:01:300,-66,11
16:19:01:450,-65,8
16:19:01:600,-55,11
16:19:01:750,-48,9
16:19:01:900,-44,10
16:19:02:050,-46,11
16:19:02:200,-45,9
16:19:02:350,-46,11
16:19:02:500,-44,9
16:19:02:650,-48,9
16:19:02:800,-54,10
16:19:02:950,-51,8
16:19:03:100,-63,9
16:19:03:250,-57,10
